drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB03754,Tromethamine,B05XX02,B,Blood and blood forming organs,B05,B05X,B05XX,B05XX02,Other i.v. solution additives,B
DB03754,Tromethamine,B05BB03,B,Blood and blood forming organs,B05,B05B,B05BB,B05BB03,Solutions affecting the electrolyte balance,B
DB03766,Propanoic acid,S01AX10,S,Sensory organs,S01,S01A,S01AX,S01AX10,Other antiinfectives,S
DB03783,Phenacetin,N02BE73,N,Nervous system,N02,N02B,N02BE,N02BE73,Anilides,N
DB03783,Phenacetin,N02BE03,N,Nervous system,N02,N02B,N02BE,N02BE03,Anilides,N
DB03783,Phenacetin,N02BE53,N,Nervous system,N02,N02B,N02BE,N02BE53,Anilides,N
DB03793,Benzoic Acid,A16AX11,A,Alimentary tract and metabolism,A16,A16A,A16AX,A16AX11,Various alimentary tract and metabolism products,A
DB03793,Benzoic Acid,V04CG30,V,Various,V04,V04C,V04CG,V04CG30,Tests for gastric secretion,V
DB03808,Hexamidine,S03AA05,S,Sensory organs,S03,S03A,S03AA,S03AA05,Antiinfectives,S
DB03808,Hexamidine,D08AC04,D,Dermatologicals,D08,D08A,D08AC,D08AC04,Biguanides and amidines,D
DB03808,Hexamidine,R02AA18,R,Respiratory system,R02,R02A,R02AA,R02AA18,Antiseptics,R
DB03808,Hexamidine,R01AX07,R,Respiratory system,R01,R01A,R01AX,R01AX07,Other nasal preparations,R
DB03808,Hexamidine,S01AX08,S,Sensory organs,S01,S01A,S01AX,S01AX08,Other antiinfectives,S
DB03852,Eucalyptol,R05CA13,R,Respiratory system,R05,R05C,R05CA,R05CA13,Expectorants,R
DB03904,Urea,D02AE01,D,Dermatologicals,D02,D02A,D02AE,D02AE01,Carbamide products,D
DB03904,Urea,B05BC02,B,Blood and blood forming organs,B05,B05B,B05BC,B05BC02,Solutions producing osmotic diuresis,B
DB03904,Urea,D02AE51,D,Dermatologicals,D02,D02A,D02AE,D02AE51,Carbamide products,D
DB04106,Fotemustine,L01AD05,L,Antineoplastic and immunomodulating agents,L01,L01A,L01AD,L01AD05,Nitrosoureas,L
DB04145,Nicotinyl alcohol,C10AD05,C,Cardiovascular system,C10,C10A,C10AD,C10AD05,Nicotinic acid and derivatives,C
DB04145,Nicotinyl alcohol,C04AC02,C,Cardiovascular system,C04,C04A,C04AC,C04AC02,Nicotinic acid and derivatives,C
DB04165,Valpromide,N03AG02,N,Nervous system,N03,N03A,N03AG,N03AG02,Fatty acid derivatives,N
DB04173,Fructose,V06DC02,V,Various,V06,V06D,V06DC,V06DC02,Carbohydrates,V
DB04209,Dequalinium,D08AH01,D,Dermatologicals,D08,D08A,D08AH,D08AH01,Quinoline derivatives,D
DB04209,Dequalinium,R02AA02,R,Respiratory system,R02,R02A,R02AA,R02AA02,Antiseptics,R
DB04209,Dequalinium,G01AC05,G,Genito-urinary system and sex hormones,G01,G01A,G01AC,G01AC05,Quinoline derivatives,G
DB04221,Didecyldimethylammonium,D08AJ06,D,Dermatologicals,D08,D08A,D08AJ,D08AJ06,Quaternary ammonium compounds,D
DB04272,Citric acid,A09AB04,A,Alimentary tract and metabolism,A09,A09A,A09AB,A09AB04,Acid preparations,A
DB04335,Inosine,G01AX02,G,Genito-urinary system and sex hormones,G01,G01A,G01AX,G01AX02,Other antiinfectives and antiseptics,G
DB04335,Inosine,S01XA10,S,Sensory organs,S01,S01X,S01XA,S01XA10,Other ophthalmologicals,S
DB04335,Inosine,D06BB05,D,Dermatologicals,D06,D06B,D06BB,D06BB05,Antivirals,D
DB04339,Carbocisteine,R05CB03,R,Respiratory system,R05,R05C,R05CB,R05CB03,Mucolytics,R
DB04377,Meglutol,C10AX05,C,Cardiovascular system,C10,C10A,C10AX,C10AX05,Other lipid modifying agents,C
DB04398,Lactic acid,G01AD01,G,Genito-urinary system and sex hormones,G01,G01A,G01AD,G01AD01,Organic acids,G
