drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00458,Imipramine,['N06AA02'],"['SLC6A2', 'HTR2A', 'SLC6A4', 'HRH1', 'ADRA1A', 'ADRA1D', 'CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'KCND2', 'KCND3', 'HTR2C', 'ADRA1B', 'HTR7', 'DRD1', 'DRD5', 'DRD2', 'KCNH2', 'SLC6A3', 'HTR1A', 'HTR6', 'KCNH1', 'ORM2']","['CYP2C19', 'CYP2D6', 'CYP1A2', 'CYP3A4', 'CYP3A7', 'CYP2B6', 'CYP2C18', 'CYP2E1']","['ABCB1', 'SLC22A2', 'SLC22A3', 'SLC22A4']","['ADRA1B', 'ADRA1A', 'KCND3', 'KCND2', 'CYP2D6', 'SLC22A2', 'CYP3A7', 'CYP2B6', 'HTR2A', 'CHRM2', 'ORM2', 'HTR1A', 'SLC6A4', 'DRD2', 'HRH1', 'HTR2C', 'CHRM1', 'HTR7', 'CHRM3', 'ADRA1D', 'CYP2C19', 'CYP2C18', 'CHRM4', 'ABCB1', 'SLC22A4', 'CYP2E1', 'DRD1', 'CYP3A4', 'SLC22A3', 'KCNH2', 'KCNH1', 'CYP1A2', 'HTR6', 'SLC6A2', 'DRD5', 'CHRM5', 'SLC6A3']",25,8,4,37
DB00459,Acitretin,['D05BB02'],"['RXRA', 'RARA', 'RARB', 'RARG', 'RXRB', 'RXRG', 'RBP1']",['CYP26A1'],[],"['RXRA', 'RXRB', 'RXRG', 'RARB', 'RARG', 'RARA', 'CYP26A1', 'RBP1']",7,1,0,8
DB00461,Nabumetone,['M01AX01'],"['PTGS2', 'PTGS1']","['MPO', 'CYP1A2', 'CYP2C9', 'HSD11B1', 'AKR1C1', 'AKR1C3', 'AKR1C4']",[],"['AKR1C4', 'AKR1C3', 'HSD11B1', 'CYP2C9', 'CYP1A2', 'MPO', 'PTGS2', 'AKR1C1', 'PTGS1']",2,7,0,9
DB00463,Metharbital,['N03AA30'],"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']",[],[],"['GABRA6', 'GABRG1', 'GABRB2', 'GABRB3', 'GABRE', 'GABRA1', 'GABRA2', 'GABRG2', 'GABRQ', 'CHRNA7', 'GABRA5', 'GRIA2', 'GRIK2', 'GABRA4', 'GABRD', 'CHRNA4', 'GABRA3', 'GABRG3', 'GABRP', 'GABRB1']",26,0,0,20
DB00464,Sodium Tetradecyl Sulfate,['C05BB04'],"['PROC', 'PROS1']",[],[],"['PROS1', 'PROC']",2,0,0,2
DB00465,Ketorolac,"['M01AB15', 'S01FB51', 'S01BC05']","['PTGS2', 'PTGS1']","['UGT2B7', 'CYP2C8', 'CYP2C9']",[],"['UGT2B7', 'CYP2C9', 'PTGS2', 'CYP2C8', 'PTGS1']",2,3,0,5
DB00467,Enoxacin,['J01MA04'],"['gyrA', 'parC', 'TOP2A']",['CYP1A2'],[],"['gyrA', 'CYP1A2', 'parC', 'TOP2A']",3,1,0,4
DB00468,Quinine,"['M09AA72', 'P01BC01']","['GP9', 'KCNN4']","['CYP3A5', 'CYP1A2', 'CYP2C8', 'CYP2C9', 'CYP2C19', 'CYP2E1', 'CYP3A7', 'CYP1A1', 'CYP3A4', 'CYP2D6']","['SLC22A2', 'SLC22A1', 'SLC22A5', 'ABCB1', 'SLCO1A2', 'SLC22A4', 'SLCO1B1']","['KCNN4', 'SLCO1A2', 'CYP2C9', 'CYP1A1', 'CYP2D6', 'SLC22A2', 'CYP3A7', 'CYP2C19', 'ABCB1', 'SLC22A4', 'CYP2E1', 'CYP2C8', 'CYP3A4', 'CYP3A5', 'SLCO1B1', 'CYP1A2', 'SLC22A1', 'GP9', 'SLC22A5']",2,10,7,19
DB00469,Tenoxicam,['M01AC02'],"['PTGS2', 'PTGS1']",['CYP2C9'],['SLC22A8'],"['SLC22A8', 'CYP2C9', 'PTGS2', 'PTGS1']",2,1,1,4
DB00470,Dronabinol,['A04AD10'],"['CNR1', 'CNR2']","['CYP3A4', 'CYP2C9', 'CYP2C19', 'PTGS1', 'CYP1A1', 'CYP2A6']","['ABCB1', 'ABCG2']","['CNR2', 'ABCG2', 'ABCB1', 'CYP2C9', 'CYP2A6', 'CNR1', 'CYP1A1', 'CYP2C19', 'CYP3A4', 'PTGS1']",2,6,2,10
