drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00001,Lepirudin,['B01AE02'],['F2'],[],[],['F2'],1,0,0,1
DB00002,Cetuximab,['L01XC06'],"['EGFR', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'EGFR', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00004,Denileukin diftitox,['L01XX29'],"['IL2RA', 'IL2RB', 'IL2RG']",[],[],"['IL2RB', 'IL2RA', 'IL2RG']",3,0,0,3
DB00005,Etanercept,['L04AB01'],"['TNF', 'TNFRSF1B', 'FCGR1A', 'FCGR3A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'LTA', 'FCGR3B', 'C1S', 'C1R', 'C1QA', 'C1QB', 'C1QC']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'FCGR1A', 'C1R', 'FCGR3B', 'TNFRSF1B', 'C1QA', 'C1S', 'FCGR2C', 'LTA', 'FCGR2B', 'C1QB', 'TNF']",14,0,0,14
DB00006,Bivalirudin,['B01AE06'],['F2'],['MPO'],[],"['F2', 'MPO']",1,1,0,2
DB00007,Leuprolide,"['L02AE51', 'L02AE02']",['GNRHR'],['CYP3A4'],[],"['CYP3A4', 'GNRHR']",1,1,0,2
DB00008,Peginterferon alfa-2a,"['L03AB11', 'L03AB61']","['IFNAR2', 'IFNAR1']",['CYP1A2'],[],"['IFNAR2', 'IFNAR1', 'CYP1A2']",2,1,0,3
DB00009,Alteplase,"['B01AD02', 'S01XA13']","['PLG', 'FGA', 'PLAUR', 'SERPINE1']",[],[],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",4,0,0,4
DB00010,Sermorelin,"['V04CD03', 'H01AC04']",['GHRHR'],[],[],['GHRHR'],1,0,0,1
DB00011,Interferon alfa-n1,['L03AB06'],"['IFNAR2', 'IFNAR1']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00012,Darbepoetin alfa,['B03XA02'],['EPOR'],[],[],['EPOR'],1,0,0,1
DB00013,Urokinase,['B01AD04'],"['PLG', 'PLAUR', 'PLAU', 'PLAT', 'SERPINE1', 'SERPINB2', 'SERPINA5', 'LRP2', 'ST14', 'NID1']",[],[],"['PLAU', 'LRP2', 'PLG', 'ST14', 'PLAUR', 'SERPINA5', 'SERPINE1', 'PLAT', 'SERPINB2', 'NID1']",10,0,0,10
DB00014,Goserelin,['L02AE03'],"['LHCGR', 'GNRHR']",[],[],"['LHCGR', 'GNRHR']",2,0,0,2
DB00015,Reteplase,['B01AD07'],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",[],[],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",4,0,0,4
DB00016,Erythropoietin,['B03XA01'],['EPOR'],[],[],['EPOR'],1,0,0,1
DB00017,Salmon Calcitonin,['H05BA01'],['CALCR'],[],[],['CALCR'],1,0,0,1
DB00019,Pegfilgrastim,['L03AA13'],"['CSF3R', 'ELANE']",[],[],"['CSF3R', 'ELANE']",2,0,0,2
DB00020,Sargramostim,['L03AA09'],"['CSF2RA', 'IL3RA', 'CSF2RB', 'SDC2', 'PRG2']",[],[],"['IL3RA', 'CSF2RB', 'SDC2', 'PRG2', 'CSF2RA']",5,0,0,5
DB00022,Peginterferon alfa-2b,"['L03AB10', 'L03AB60']","['IFNAR1', 'IFNAR2']","['CYP1A2', 'CYP2D6', 'CYP2C9']",[],"['IFNAR2', 'IFNAR1', 'CYP2C9', 'CYP1A2', 'CYP2D6']",2,3,0,5
DB00024,Thyrotropin alfa,['H01AB01'],['TSHR'],[],[],['TSHR'],1,0,0,1
DB00025,"Antihemophilic factor, human recombinant",['B02BD02'],"['F10', 'F9', 'VWF', 'PHYH', 'ASGR2', 'HSPA5', 'CALR', 'CANX', 'LMAN1', 'LRP1', 'MCFD2']","['F2', 'PROC']",[],"['MCFD2', 'F10', 'ASGR2', 'F9', 'CALR', 'LRP1', 'HSPA5', 'VWF', 'LMAN1', 'CANX', 'PHYH', 'PROC', 'F2']",11,2,0,13
DB00026,Anakinra,['L04AC03'],['IL1R1'],[],[],['IL1R1'],1,0,0,1
DB00027,Gramicidin D,['R02AB30'],[],[],['ABCB1'],['ABCB1'],0,0,1,1
DB00029,Anistreplase,['B01AD03'],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",[],[],"['PLG', 'FGA', 'PLAUR', 'SERPINE1']",4,0,0,4
DB00030,Insulin Human,"['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01']","['INSR', 'IGF1R', 'RB1']","['IDE', 'PCSK2', 'CPE', 'PCSK1']",[],"['IDE', 'CPE', 'INSR', 'PCSK2', 'RB1', 'PCSK1', 'IGF1R']",3,4,0,7
DB00031,Tenecteplase,['B01AD11'],"['PLG', 'FGA', 'PLAUR', 'SERPINE1', 'SERPINB2', 'CLEC3B', 'KRT8', 'ANXA2', 'CALR', 'CANX', 'LRP1']",[],[],"['CLEC3B', 'ANXA2', 'PLG', 'CALR', 'FGA', 'PLAUR', 'LRP1', 'SERPINE1', 'KRT8', 'SERPINB2', 'CANX']",11,0,0,11
DB00032,Menotropins,['G03GA02'],"['FSHR', 'LHCGR']",[],[],"['LHCGR', 'FSHR']",2,0,0,2
DB00034,"Interferon Alfa-2a, Recombinant",['L03AB04'],"['IFNAR1', 'IFNAR2']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00035,Desmopressin,['H01BA02'],"['AVPR2', 'AVPR1A', 'AVPR1B']","['PTGS1', 'PTGS2']",[],"['AVPR1A', 'PTGS2', 'AVPR1B', 'AVPR2', 'PTGS1']",3,2,0,5
DB00036,Coagulation factor VIIa Recombinant Human,['B02BD08'],"['F10', 'HPN', 'TFPI', 'GGCX', 'F7', 'F3']",[],[],"['F10', 'F3', 'TFPI', 'HPN', 'GGCX', 'F7']",6,0,0,6
DB00038,Oprelvekin,['L03AC02'],['IL11RA'],[],[],['IL11RA'],1,0,0,1
DB00039,Palifermin,['V03AF08'],"['FGFR2', 'NRP1', 'FGFR1', 'FGFR4', 'FGFR3', 'HSPG2']",[],[],"['FGFR1', 'HSPG2', 'FGFR4', 'NRP1', 'FGFR3', 'FGFR2']",6,0,0,6
DB00040,Glucagon,['H04AA01'],"['GCGR', 'GLP2R', 'GLP1R']",[],[],"['GCGR', 'GLP1R', 'GLP2R']",3,0,0,3
DB00041,Aldesleukin,['L03AC01'],"['IL2RB', 'IL2RA', 'IL2RG']","['PTGS2', 'PLA2G4A', 'CYP3A4', 'XDH', 'CYP2E1']",[],"['IL2RG', 'IL2RA', 'PLA2G4A', 'IL2RB', 'PTGS2', 'CYP2E1', 'XDH', 'CYP3A4']",3,5,0,8
DB00042,Botulinum Toxin Type B,['M03AX01'],"['VAMP2', 'VAMP1', 'SYT2']",[],[],"['VAMP2', 'SYT2', 'VAMP1']",3,0,0,3
DB00043,Omalizumab,['R03DX05'],"['FCER1A', 'MS4A2']",[],[],"['MS4A2', 'FCER1A']",2,0,0,2
DB00044,Lutropin alfa,['G03GA07'],['LHCGR'],[],[],['LHCGR'],1,0,0,1
DB00046,Insulin Lispro,"['A10AC04', 'A10AB04', 'A10AD04']","['INSR', 'IGF1R']",[],[],"['IGF1R', 'INSR']",2,0,0,2
DB00047,Insulin glargine,"['A10AE54', 'A10AE04']","['INSR', 'IGF1R']",[],[],"['IGF1R', 'INSR']",2,0,0,2
DB00048,Collagenase clostridium histolyticum,"['D03BA02', 'M09AB02', 'D03BA52']","['COL1A1', 'COL2A1', 'COL3A1', 'COL1A2']",[],[],"['COL1A2', 'COL3A1', 'COL1A1', 'COL2A1']",4,0,0,4
DB00050,Cetrorelix,['H01CC02'],"['GNRHR', 'LHCGR']",[],[],"['LHCGR', 'GNRHR']",2,0,0,2
DB00051,Adalimumab,['L04AB04'],['TNF'],[],[],['TNF'],1,0,0,1
DB00052,Somatotropin,['H01AC01'],"['GHR', 'PRLR']",[],[],"['GHR', 'PRLR']",2,0,0,2
DB00054,Abciximab,['B01AC13'],"['ITGB3', 'ITGA2B', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'VTN']",[],[],"['FCGR2A', 'ITGA2B', 'C1QC', 'FCGR3A', 'C1R', 'ITGB3', 'FCGR1A', 'VTN', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",14,0,0,14
DB00055,Drotrecogin alfa,['B01AD10'],"['F8', 'F5', 'SERPINE1', 'THBD', 'PROS1', 'CP', 'F2', 'PF4', 'SERPINA5', 'SERPINB6', 'GGCX', 'PROCR']",[],[],"['THBD', 'PROS1', 'GGCX', 'F8', 'SERPINA5', 'SERPINE1', 'CP', 'PF4', 'SERPINB6', 'F5', 'PROCR', 'F2']",12,0,0,12
DB00056,Gemtuzumab ozogamicin,['L01XC05'],"['CD33', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'CD33', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00058,Alpha-1-proteinase inhibitor,['B02AB02'],['ELANE'],[],[],['ELANE'],1,0,0,1
DB00060,Interferon beta-1a,['L03AB07'],"['IFNAR1', 'IFNAR2']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00061,Pegademase,['L03AX04'],['GRB2'],[],[],['GRB2'],1,0,0,1
DB00063,Eptifibatide,['B01AC16'],['ITGB3'],[],[],['ITGB3'],1,0,0,1
DB00065,Infliximab,['L04AB02'],['TNF'],[],[],['TNF'],1,0,0,1
DB00066,Follitropin,"['G03GA10', 'G03GA06', 'G03GA05']",['FSHR'],[],[],['FSHR'],1,0,0,1
DB00068,Interferon beta-1b,['L03AB08'],"['IFNAR1', 'IFNAR2']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00069,Interferon alfacon-1,['L03AB09'],"['IFNAR1', 'IFNAR2']",[],[],"['IFNAR2', 'IFNAR1']",2,0,0,2
DB00071,Insulin Pork,"['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03']","['INSR', 'IGF1R', 'IDE', 'HLA-DQA2', 'HLA-DQB1', 'RB1', 'CTSD', 'CPE', 'PCSK2', 'PCSK1', 'NOV', 'LRP2', 'IGFBP7', 'SYTL4']",[],[],"['NOV', 'LRP2', 'HLA-DQB1', 'IDE', 'CPE', 'INSR', 'HLA-DQA2', 'PCSK2', 'SYTL4', 'IGFBP7', 'RB1', 'PCSK1', 'IGF1R', 'CTSD']",14,0,0,14
DB00072,Trastuzumab,['L01XC03'],"['ERBB2', 'EGFR', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'FCGR3B', 'FCGR3A']",['CYP19A1'],[],"['ERBB2', 'FCGR2A', 'EGFR', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'CYP19A1', 'FCGR2B', 'C1QB']",13,1,0,14
DB00073,Rituximab,['L01XC02'],['MS4A1'],[],[],['MS4A1'],1,0,0,1
DB00074,Basiliximab,['L04AC02'],"['IL2RA', 'IL2RB', 'FCGR1A', 'FCGR3A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'FCGR3B', 'C1S', 'C1R', 'C1QA', 'C1QB', 'C1QC']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'FCGR1A', 'C1R', 'IL2RA', 'FCGR3B', 'IL2RB', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",13,0,0,13
DB00075,Muromonab,['L04AA02'],"['CD3D', 'CD3E', 'CD3G', 'CD247', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['CD247', 'FCGR2A', 'CD3E', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'CD3G', 'CD3D', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",15,0,0,15
DB00078,Ibritumomab tiuxetan,['V10XX02'],"['MS4A1', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'MS4A1', 'C1R', 'FCGR3A', 'FCGR1A', 'FCGR3B', 'C1QA', 'C1S', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00081,Tositumomab,['V10XA53'],"['MS4A1', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'MS4A1', 'C1R', 'FCGR3A', 'FCGR1A', 'FCGR3B', 'C1QA', 'FCGR2C', 'FCGR2B', 'C1QB']",11,0,0,11
DB00082,Pegvisomant,['H01AX01'],['GHR'],"['CYP27A1', 'GLUL', 'CYP2C18', 'CYP3A4', 'BCHE', 'CYP2C19', 'CYP4A11']",[],"['CYP2C18', 'CYP4A11', 'GLUL', 'GHR', 'BCHE', 'CYP2C19', 'CYP27A1', 'CYP3A4']",1,7,0,8
DB00083,Botulinum toxin type A,['M03AX01'],"['SNAP25', 'RHOB']",[],[],"['SNAP25', 'RHOB']",2,0,0,2
DB00086,Streptokinase,"['B01AD01', 'B06AA55']","['PLG', 'F2R']",['PLA2G4A'],[],"['PLG', 'F2R', 'PLA2G4A']",2,1,0,3
DB00087,Alemtuzumab,['L04AA34'],"['CD52', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'C1QA', 'FCGR2C', 'CD52', 'FCGR2B', 'C1QB']",11,0,0,11
DB00089,Capromab pendetide,['V09IB04'],['FOLH1'],[],[],['FOLH1'],1,0,0,1
DB00091,Ciclosporin,"['L04AD01', 'S01XA18']","['CAMLG', 'PPP3R2', 'PPIA', 'PPIF']","['CYP3A7', 'CYP3A5', 'CYP3A4', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6']","['ABCB1', 'ABCC3', 'ABCB11', 'SLCO1A2', 'SLC10A2', 'SLC10A1', 'SLC22A6', 'ABCC10', 'ABCC2', 'ABCG2', 'SLCO1B1', 'SLCO1B3']","['ABCG2', 'SLCO1A2', 'CYP2C9', 'CAMLG', 'CYP2D6', 'PPP3R2', 'CYP3A7', 'ABCC3', 'PPIF', 'ABCB11', 'CYP2C19', 'ABCB1', 'SLCO1B3', 'ABCC10', 'SLC10A2', 'PPIA', 'ABCC2', 'CYP2C8', 'CYP3A4', 'CYP3A5', 'SLC10A1', 'SLC22A6', 'SLCO1B1']",4,7,12,23
DB00092,Alefacept,['L04AA15'],"['CD2', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'FCGR3B']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'CD2', 'FCGR1A', 'FCGR3B', 'C1QA', 'FCGR2C', 'FCGR2B', 'C1QB']",11,0,0,11
DB00094,Urofollitropin,['G03GA04'],['FSHR'],[],[],['FSHR'],1,0,0,1
DB00095,Efalizumab,['L04AA21'],"['ITGAL', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'ITGAL', 'FCGR3B', 'C1QA', 'FCGR2C', 'FCGR2B', 'C1QB']",11,0,0,11
DB00097,Choriogonadotropin alfa,['G03GA08'],"['LHCGR', 'FSHR']",[],[],"['LHCGR', 'FSHR']",2,0,0,2
DB00098,Antithymocyte immunoglobulin (rabbit),['L04AA04'],"['CD1A', 'MR1', 'ITGAL', 'CD86', 'FCGR2B', 'CD4', 'ITGB1', 'ITGAV', 'ITGB3']",[],[],"['CD1A', 'ITGB3', 'ITGAL', 'CD4', 'ITGAV', 'CD86', 'ITGB1', 'FCGR2B', 'MR1']",9,0,0,9
DB00099,Filgrastim,['L03AA02'],"['CSF3R', 'ELANE']",[],[],"['CSF3R', 'ELANE']",2,0,0,2
DB00102,Becaplermin,"['D03AX06', 'A01AD08']","['PDGFRB', 'PDGFRA', 'A2M']",[],[],"['PDGFRA', 'PDGFRB', 'A2M']",3,0,0,3
DB00104,Octreotide,['H01CB02'],"['SSTR1', 'SSTR5', 'SSTR2']","['MPO', 'CYP3A4']",[],"['SSTR2', 'SSTR1', 'MPO', 'SSTR5', 'CYP3A4']",3,2,0,5
DB00105,Interferon alfa-2b,['L03AB05'],"['IFNAR2', 'IFNAR1']",['CYP1A2'],[],"['IFNAR2', 'IFNAR1', 'CYP1A2']",2,1,0,3
DB00106,Abarelix,['L02BX01'],['GNRHR'],[],[],['GNRHR'],1,0,0,1
DB00107,Oxytocin,"['G02AC01', 'H01BB02']","['OXTR', 'OXT']",['PREP'],[],"['PREP', 'OXT', 'OXTR']",2,1,0,3
DB00108,Natalizumab,['L04AA23'],"['ITGA4', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'ICAM1']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'ICAM1', 'C1QA', 'ITGA4', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00109,Enfuvirtide,['J05AX07'],['gp41'],"['CYP2C19', 'CYP2E1']",[],"['CYP2E1', 'CYP2C19', 'gp41']",1,2,0,3
DB00110,Palivizumab,['J06BB16'],"['F', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'F', 'C1R', 'FCGR3A', 'FCGR1A', 'FCGR3B', 'C1QA', 'FCGR2C', 'FCGR2B', 'C1QB']",11,0,0,11
DB00111,Daclizumab,['L04AC01'],"['IL2RA', 'IL2RB', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'IL2RA', 'FCGR3B', 'C1QA', 'IL2RB', 'FCGR2C', 'FCGR2B', 'C1QB']",12,0,0,12
DB00112,Bevacizumab,['L01XC07'],"['VEGFA', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C']",[],[],"['FCGR2A', 'C1QC', 'FCGR3A', 'C1R', 'FCGR1A', 'FCGR3B', 'C1QA', 'FCGR2C', 'VEGFA', 'FCGR2B', 'C1QB']",11,0,0,11
DB00113,Technetium Tc-99m arcitumomab,['V09IA06'],['CEACAM1'],[],[],['CEACAM1'],1,0,0,1
DB00114,Pyridoxal phosphate,['A11HA06'],"['AGXT2', 'GAD1', 'CBS', 'KYNU', 'SHMT1', 'NFS1', 'GOT1', 'OAT', 'ODC1', 'AADAT', 'ABAT', 'PNPO', 'SGPL1', 'TAT', 'CCBL1', 'THNSL1', 'PYGL', 'SPTLC2', 'CSAD', 'HDC', 'AZIN2', 'SDS', 'GCAT', 'GLDC', 'GPT', 'PSAT1', 'ALAS1', 'AGXT', 'PDXP', 'SPTLC1', 'CTH', 'BCAT1', 'BCAT2', 'PROSC', 'FTCD', 'GOT2', 'PYGB', 'PYGM', 'DDC', 'GIG18', 'ALAS1', 'GAD2', 'DDC', 'PDXDC1', 'CCBL2', 'GADL1', 'SCLY', 'IGSF10', 'PHYKPL', 'GAD1', 'SHMT2', 'ALAS2', 'GPT2', 'MOCOS', 'SDSL', 'pcap', 'SRR', 'SEPSECS', 'SPTLC3', 'GAD65', 'TLH6']",[],[],"['GPT', 'PYGL', 'BCAT1', 'DDC', 'PROSC', 'GPT2', 'SDSL', 'AGXT2', 'HDC', 'GLDC', 'IGSF10', 'AGXT', 'GADL1', 'GOT1', 'CCBL1', 'CSAD', 'TAT', 'SDS', 'PSAT1', 'GAD65', 'SGPL1', 'TLH6', 'CCBL2', 'SEPSECS', 'CBS', 'SCLY', 'THNSL1', 'SPTLC3', 'PYGB', 'GIG18', 'ALAS2', 'FTCD', 'GCAT', 'GOT2', 'OAT', 'PNPO', 'AZIN2', 'SPTLC2', 'AADAT', 'ABAT', 'PDXP', 'CTH', 'BCAT2', 'NFS1', 'SHMT1', 'pcap', 'PYGM', 'SPTLC1', 'PHYKPL', 'SHMT2', 'ODC1', 'ALAS1', 'GAD2', 'PDXDC1', 'GAD1', 'MOCOS', 'KYNU', 'SRR']",61,0,0,58
DB00115,Cyanocobalamin,"['B03BA01', 'B03AE01', 'B03BA51']","['MTR', 'MUT', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']","['MMAB', 'cobU']","['AMN', 'TCN1', 'TCN2', 'GIF', 'CUBN', 'LRP2', 'ABCC1']","['MMAA', 'MTR', 'MTHFR', 'MTRR', 'cobU', 'CUBN', 'MMACHC', 'TCN2', 'AMN', 'LRP2', 'MUT', 'TCN1', 'GIF', 'ABCC1', 'MMAB']",6,2,7,15
DB00118,Ademetionine,['A16AA02'],"['GNMT', 'AMD1', 'MAT2A', 'CBS', 'MAT1A', 'COMT', 'CMTR1', 'AS3MT']","['CYP2E1', 'SRM']",[],"['AMD1', 'MAT1A', 'COMT', 'GNMT', 'CMTR1', 'CYP2E1', 'CBS', 'SRM', 'AS3MT', 'MAT2A']",8,2,0,10
DB00121,Biotin,['A11HA05'],"['PCCB', 'HLCS', 'SLC5A6', 'MCCC2', 'ACACB', 'MCCC1', 'PC', 'PCCA', 'ACACA']",['CYP1B1'],[],"['PC', 'HLCS', 'ACACA', 'PCCB', 'PCCA', 'MCCC2', 'CYP1B1', 'SLC5A6', 'ACACB', 'MCCC1']",9,1,0,10
DB00123,L-Lysine,['B05XB03'],"['SLC7A1', 'SLC7A4', 'SLC7A3', 'SLC7A2', 'KARS']",[],"['SLC16A10', 'SLC22A4']","['SLC22A4', 'SLC7A1', 'SLC7A2', 'SLC7A3', 'SLC7A4', 'SLC16A10', 'KARS']",5,0,2,7
DB00125,L-Arginine,['B05XB01'],"['NOS3', 'SLC7A3', 'AZIN2', 'ASL', 'NOS2', 'SLC7A1', 'ARG2', 'SLC7A4', 'ASS1']",[],"['SLC22A5', 'SLC16A10', 'SLC22A4']","['ASL', 'SLC22A4', 'SLC22A5', 'SLC7A1', 'AZIN2', 'ASS1', 'SLC7A3', 'SLC7A4', 'SLC16A10', 'NOS3', 'NOS2', 'ARG2']",9,0,3,12
DB00126,Ascorbic acid,"['G01AD03', 'A11GA01', 'A11GB01', 'S01XA15']","['LCT', 'xylA', 'PLOD2', 'PHYH', 'PLOD3', 'BBOX1', 'DBH', 'PAM', 'P4HA1', 'P3H1', 'OGFOD2', 'ALKBH2', 'P3H2', 'P3H3', 'OGFOD1', 'EGLN2', 'ALKBH3', 'KDM5D', 'EGLN1', 'SLC23A1', 'PLOD1', 'EGLN3', 'TMLHE', 'P4HTM']",[],['SLC23A1'],"['EGLN2', 'OGFOD1', 'EGLN3', 'PLOD2', 'TMLHE', 'PAM', 'DBH', 'PLOD1', 'P3H2', 'ALKBH2', 'ALKBH3', 'SLC23A1', 'PLOD3', 'KDM5D', 'P3H3', 'xylA', 'EGLN1', 'P4HA1', 'OGFOD2', 'LCT', 'P4HTM', 'BBOX1', 'P3H1', 'PHYH']",24,0,1,24
DB00129,Ornithine,['A05BA06'],"['OAT', 'OTC', 'ARG1', 'OAZ1', 'SLC7A2', 'SLC25A2', 'SLC7A4', 'SLC7A1', 'ARG2', 'SLC25A15', 'SLC7A3', 'OAZ2', 'GATM', 'OAZ3']",[],[],"['OAZ2', 'OAZ1', 'SLC25A15', 'GATM', 'SLC25A2', 'SLC7A1', 'OAT', 'ARG1', 'SLC7A2', 'SLC7A3', 'SLC7A4', 'OAZ3', 'ARG2', 'OTC']",14,0,0,14
DB00130,L-Glutamine,['A16AA03'],"['CTPS1', 'PPAT', 'GLUL']","['F13A1', 'GLS', 'GLS2', 'TGM2', 'TGM5', 'TGM6', 'TGM1', 'TGM4', 'TGM3', 'TGM7', 'GMPS', 'ASNS', 'CCBL1', 'PFAS', 'GATB', 'GFPT2', 'CAD', 'QARS', 'NADSYN1']","['SLC16A10', 'SLC38A3', 'SLC1A5', 'SLC7A8']","['CAD', 'TGM2', 'CCBL1', 'GLS2', 'QARS', 'TGM7', 'GMPS', 'NADSYN1', 'CTPS1', 'TGM3', 'PPAT', 'ASNS', 'TGM5', 'GFPT2', 'PFAS', 'GLS', 'SLC16A10', 'SLC7A8', 'F13A1', 'TGM4', 'SLC38A3', 'TGM1', 'GLUL', 'TGM6', 'SLC1A5', 'GATB']",3,19,4,26
DB00134,Methionine,['V03AB26'],"['MTRR', 'MTR', 'METAP2', 'BHMT', 'BHMT2']","['GLUL', 'MTHFR', 'MAT2A', 'MSRB2', 'MAT1A', 'MSRB1', 'MSRA', 'MARS', 'MARS2', 'MAT2B']",['SLC16A10'],"['BHMT', 'MTR', 'MAT1A', 'MTHFR', 'MTRR', 'MSRB2', 'GLUL', 'BHMT2', 'MARS2', 'MARS', 'SLC16A10', 'MSRA', 'MAT2B', 'MSRB1', 'METAP2', 'MAT2A']",5,10,1,16
DB00136,Calcitriol,"['D05AX03', 'A11CC04']","['VDR', 'HOXA10']","['CYP24A1', 'CYP3A4']",[],"['CYP24A1', 'VDR', 'HOXA10', 'CYP3A4']",2,2,0,4
DB00140,Riboflavin,"['A11HA04', 'S01XA26']","['RFK', 'ribC', 'BLVRB']","['MAOA', 'MTHFR']",['SLC22A6'],"['MTHFR', 'ribC', 'RFK', 'SLC22A6', 'MAOA', 'BLVRB']",3,2,1,6
