model,cv_accuracy,cv_std,train_accuracy,train_f1,train_precision,train_recall
Random Forest,0.8567946467190799,0.011282250187109868,0.8739283913262733,0.6612466124661247,0.5936739659367397,0.746177370030581
Gradient Boosting,0.8941022313818283,0.007441539090685456,0.9490670700958144,0.8237347294938918,0.959349593495935,0.7217125382262997
SVM (RBF),0.8688904154899116,0.005168270379832199,0.875441250630358,0.42424242424242425,0.8921568627450981,0.2782874617737003
Logistic Regression,0.8517454138360939,0.01233062410135349,0.8537569339384771,0.5892351274787535,0.5488126649076517,0.636085626911315
