signature_name,drug_name,cid,direction,num_genes
Zileuton_DB-67-IP73_batchid1_0.01uM_24h down,Zileuton,60490,down,7
Ibrolipim_JE-86-QG78_batchid1_0.01uM_24h up,Ibrolipim,131601,up,245
Ibrolipim_JE-86-QG78_batchid1_0.01uM_24h down,Ibrolipim,131601,down,31
Lufironil_DA-23-IF64_batchid1_0.01uM_24h up,Lufironil,60788,up,21
Lufironil_DA-23-IF64_batchid1_0.01uM_24h down,Lufironil,60788,down,10
10034809_DE-27-WV87_batchid1_0.01uM_24h up,10034809,10034809,up,36
10034809_DE-27-WV87_batchid1_0.01uM_24h down,10034809,10034809,down,8
9955458_EF-22-PB37_batchid1_0.01uM_24h up,9955458,9955458,up,256
9955458_EF-22-PB37_batchid1_0.01uM_24h down,9955458,9955458,down,72
Oprea1_571617_OC-41-DF58_batchid1_0.01uM_24h up,Oprea1,10688007,up,284
Oprea1_571617_OC-41-DF58_batchid1_0.01uM_24h down,Oprea1,10688007,down,61
2208391_CE-88-RJ81_batchid1_0.01uM_24h up,2208391,2208391,up,29
Bi-2536_AB-30-CR11_batchid1_0.01uM_24h up,Bi-2536,11364421,up,389
Bi-2536_AB-30-CR11_batchid1_0.01uM_24h down,Bi-2536,11364421,down,199
46184987_CD-41-RE87_batchid1_0.01uM_24h up,46184987,46184987,up,6
46184987_CD-41-RE87_batchid1_0.01uM_24h down,46184987,46184987,down,9
Hexachlorophene_AA-10-VR76_batchid1_0.01uM_24h up,Hexachlorophene,3598,up,66
Hexachlorophene_AA-10-VR76_batchid1_0.01uM_24h down,Hexachlorophene,3598,down,60
Isoproterenol_AD-42-US78_batchid1_0.01uM_24h up,Isoproterenol,3779,up,62
Isoproterenol_AD-42-US78_batchid1_0.01uM_24h down,Isoproterenol,3779,down,49
Acetazolamide_AF-81-IV73_batchid1_0.01uM_24h up,Acetazolamide,1986,up,85
Acetazolamide_AF-81-IV73_batchid1_0.01uM_24h down,Acetazolamide,1986,down,31
"7-Chloro-2,3,4,5-tetrahydro-1H-3-benzazepine_GB-45-CJ58_batchid1_0.01uM_24h down","7-Chloro-2,3,4,5-tetrahydro-1H-3-benzazepine",17954204,down,7
Pretomanid_AD-94-EX35_batchid1_0.01uM_24h up,Pretomanid,456199,up,27
Pretomanid_AD-94-EX35_batchid1_0.01uM_24h down,Pretomanid,456199,down,19
11842675_IE-04-SI43_batchid1_0.01uM_24h up,11842675,11842675,up,53
11842675_IE-04-SI43_batchid1_0.01uM_24h down,11842675,11842675,down,29
"5-Iodo-6-amino-1,2-benzopyrone_ME-73-FK70_batchid1_0.01uM_24h up","5-Iodo-6-amino-1,2-benzopyrone",72356,up,42
"5-Iodo-6-amino-1,2-benzopyrone_ME-73-FK70_batchid1_0.01uM_24h down","5-Iodo-6-amino-1,2-benzopyrone",72356,down,139
22083924_AA-14-SG39_batchid1_0.01uM_24h up,22083924,22083924,up,8
22083924_AA-14-SG39_batchid1_0.01uM_24h down,22083924,22083924,down,11
9945160_CE-25-VD54_batchid1_0.01uM_24h up,9945160,9945160,up,6
9802420_EE-45-YQ15_batchid1_0.01uM_24h up,9802420,9802420,up,115
9802420_EE-45-YQ15_batchid1_0.01uM_24h down,9802420,9802420,down,27
Argyrin A_BF-27-HP68_batchid1_0.01uM_24h down,Argyrin A,11104823,down,12
9847269_FA-79-WC91_batchid1_0.01uM_24h up,9847269,9847269,up,43
9847269_FA-79-WC91_batchid1_0.01uM_24h down,9847269,9847269,down,25
Nvp-aew541_BC-76-HY47_batchid1_0.01uM_24h up,Nvp-aew541,11476171,up,19
