signature_name,drug_name,cid,direction,num_genes
"2,4-Dichlorobenzyl carbamimidothioate_LC-20-LZ39_batchid11_1uM_24h down","2,4-Dichlorobenzyl carbamimidothioate",234811,down,18
"N-(4-Fluorophenyl)-4-phenyl-1,3-thiazol-2-amine_FE-58-ES32_batchid11_1uM_24h up","N-(4-Fluorophenyl)-4-phenyl-1,3-thiazol-2-amine",623055,up,10
4515_AE-69-CH29_batchid11_1uM_24h up,4515,4515,up,16
4515_AE-69-CH29_batchid11_1uM_24h down,4515,4515,down,9
655457_AC-40-DU58_batchid11_1uM_24h up,655457,655457,up,28
655457_AC-40-DU58_batchid11_1uM_24h down,655457,655457,down,40
Nelivaptan_HD-85-AJ28_batchid11_1uM_24h up,Nelivaptan,9895468,up,24
2360773_CB-10-YX20_batchid11_1uM_24h up,2360773,2360773,up,16
Nilotinib_FA-30-KQ38_batchid11_1uM_24h up,Nilotinib,644241,up,11
3730790_GE-77-FY84_batchid11_1uM_24h up,3730790,3730790,up,21
3730790_GE-77-FY84_batchid11_1uM_24h down,3730790,3730790,down,8
11718911_DD-26-VR55_batchid11_1uM_24h up,11718911,11718911,up,35
11718911_DD-26-VR55_batchid11_1uM_24h down,11718911,11718911,down,19
10239341_DF-57-BL63_batchid11_1uM_24h up,10239341,10239341,up,28
10239341_DF-57-BL63_batchid11_1uM_24h down,10239341,10239341,down,72
Vadimezan_AD-30-TH82_batchid11_1uM_24h up,Vadimezan,123964,up,14
5165428_PB-59-HH22_batchid11_1uM_24h up,5165428,5165428,up,9
Kinetin_BC-72-DZ30_batchid11_1uM_24h up,Kinetin,3830,up,181
Kinetin_BC-72-DZ30_batchid11_1uM_24h down,Kinetin,3830,down,571
Carbidopa_BE-16-VM54_batchid11_1uM_24h up,Carbidopa,34359,up,51
Carbidopa_BE-16-VM54_batchid11_1uM_24h down,Carbidopa,34359,down,17
1079383_FA-94-QJ71_batchid11_1uM_24h up,1079383,1079383,up,34
1079383_FA-94-QJ71_batchid11_1uM_24h down,1079383,1079383,down,95
Trimethyl-(3-naphthalen-1-yl-3-oxopropyl)azanium_EF-16-GV25_batchid11_1uM_24h up,Trimethyl-(3-naphthalen-1-yl-3-oxopropyl)azanium,1518,up,7
Sto609_EC-87-ZB49_batchid11_1uM_24h up,Sto609,3467590,up,9
Sto609_EC-87-ZB49_batchid11_1uM_24h down,Sto609,3467590,down,8
25163982_BC-75-FA82_batchid11_1uM_24h up,25163982,25163982,up,221
25163982_BC-75-FA82_batchid11_1uM_24h down,25163982,25163982,down,421
11697360_JD-50-EC04_batchid11_1uM_24h up,11697360,11697360,up,16
11697360_JD-50-EC04_batchid11_1uM_24h down,11697360,11697360,down,9
Nvp-baw2881_BA-40-IU73_batchid11_1uM_24h up,Nvp-baw2881,16004702,up,230
Nvp-baw2881_BA-40-IU73_batchid11_1uM_24h down,Nvp-baw2881,16004702,down,173
Galnon_FB-67-OY39_batchid11_1uM_24h up,Galnon,5311268,up,6
Galnon_FB-67-OY39_batchid11_1uM_24h down,Galnon,5311268,down,7
16071550_BE-33-IM71_batchid11_1uM_24h up,16071550,16071550,up,15
16071550_BE-33-IM71_batchid11_1uM_24h down,16071550,16071550,down,6
"6-Chloro-3-hydroxy-1,2-benzisoxazole_XE-29-LT20_batchid11_1uM_24h up","6-Chloro-3-hydroxy-1,2-benzisoxazole",2781852,up,127
"6-Chloro-3-hydroxy-1,2-benzisoxazole_XE-29-LT20_batchid11_1uM_24h down","6-Chloro-3-hydroxy-1,2-benzisoxazole",2781852,down,359
5-HT7 agonist 2_NB-92-BG38_batchid11_1uM_24h up,5-HT7 agonist 2,44610704,up,19
5-HT7 agonist 2_NB-92-BG38_batchid11_1uM_24h down,5-HT7 agonist 2,44610704,down,11
10209082_RE-97-MC55_batchid11_1uM_24h up,10209082,10209082,up,111
10209082_RE-97-MC55_batchid11_1uM_24h down,10209082,10209082,down,72
Desloratadine_FA-03-CZ62_batchid11_1uM_24h up,Desloratadine,124087,up,21
Miglitol_BE-41-AV63_batchid11_1uM_24h up,Miglitol,441314,up,48
Miglitol_BE-41-AV63_batchid11_1uM_24h down,Miglitol,441314,down,58
Clotrimazole_AF-48-FX20_batchid11_1uM_24h up,Clotrimazole,2812,up,23
Clotrimazole_AF-48-FX20_batchid11_1uM_24h down,Clotrimazole,2812,down,12
Abt-107_GB-11-TA37_batchid11_1uM_24h up,Abt-107,11151363,up,52
Abt-107_GB-11-TA37_batchid11_1uM_24h down,Abt-107,11151363,down,128
59512435_CA-60-LK14_batchid11_1uM_24h up,59512435,59512435,up,64
59512435_CA-60-LK14_batchid11_1uM_24h down,59512435,59512435,down,382
59512529_DB-73-KP48_batchid11_1uM_24h up,59512529,59512529,up,14
Estradiol Valerate_AB-17-ZZ77_batchid11_1uM_24h up,Estradiol Valerate,13791,up,5
24762205_GE-29-ZM45_batchid11_1uM_24h up,24762205,24762205,up,184
24762205_GE-29-ZM45_batchid11_1uM_24h down,24762205,24762205,down,124
24753708_GB-10-QG19_batchid11_1uM_24h down,24753708,24753708,down,28
_AD-52-UZ45_batchid11_1uM_24h up,,,up,30
_AD-52-UZ45_batchid11_1uM_24h down,,,down,39
"(S)-3,4-Dcpg_UF-43-HT41_batchid11_1uM_24h up","(S)-3,4-Dcpg",16062593,up,6
Aripiprazole_BC-19-GQ25_batchid11_1uM_24h up,Aripiprazole,60795,up,9
Aripiprazole_BC-19-GQ25_batchid11_1uM_24h down,Aripiprazole,60795,down,6
25069387_CE-37-XI06_batchid11_1uM_24h up,25069387,25069387,up,216
25069387_CE-37-XI06_batchid11_1uM_24h down,25069387,25069387,down,467
PI-103_EC-82-LV30_batchid11_1uM_24h up,PI-103,9884685,up,607
PI-103_EC-82-LV30_batchid11_1uM_24h down,PI-103,9884685,down,473
_KB-56-XG08_batchid11_1uM_24h up,,,up,7
25102171_AA-87-MP18_batchid11_1uM_24h up,25102171,25102171,up,8
9937535_IB-80-NT15_batchid11_1uM_24h up,9937535,9937535,up,23
9937535_IB-80-NT15_batchid11_1uM_24h down,9937535,9937535,down,6
Biphenylindanone A_CA-10-RU23_batchid11_1uM_24h up,Biphenylindanone A,9868580,up,186
Biphenylindanone A_CA-10-RU23_batchid11_1uM_24h down,Biphenylindanone A,9868580,down,389
25066619_CA-63-LW25_batchid11_1uM_24h up,25066619,25066619,up,44
25066619_CA-63-LW25_batchid11_1uM_24h down,25066619,25066619,down,90
46398810_AB-12-PP61_batchid11_1uM_24h up,46398810,46398810,up,58
46398810_AB-12-PP61_batchid11_1uM_24h down,46398810,46398810,down,211
25144336_AF-73-HJ84_batchid11_1uM_24h up,25144336,25144336,up,185
25144336_AF-73-HJ84_batchid11_1uM_24h down,25144336,25144336,down,290
N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea_WE-41-YO44_batchid11_1uM_24h up,N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea,4286,up,115
N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea_WE-41-YO44_batchid11_1uM_24h down,N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea,4286,down,201
11485745_OC-14-JE78_batchid11_1uM_24h up,11485745,11485745,up,12
HIV-1 inhibitor-46_AB-46-GB72_batchid11_1uM_24h up,HIV-1 inhibitor-46,1144328,up,9
_CB-29-KG96_batchid11_1uM_24h up,,,up,58
_CB-29-KG96_batchid11_1uM_24h down,,,down,41
Tazarotenic acid_IF-03-OL58_batchid11_1uM_24h up,Tazarotenic acid,147525,up,211
Tazarotenic acid_IF-03-OL58_batchid11_1uM_24h down,Tazarotenic acid,147525,down,204
9798553_CF-90-DA50_batchid11_1uM_24h up,9798553,9798553,up,19
9798553_CF-90-DA50_batchid11_1uM_24h down,9798553,9798553,down,8
Propiverine_OF-98-RK57_batchid11_1uM_24h up,Propiverine,4942,up,30
Propiverine_OF-98-RK57_batchid11_1uM_24h down,Propiverine,4942,down,13
Cilastatin_GF-98-RS57_batchid11_1uM_24h up,Cilastatin,6435415,up,5
Trimetrexate_DD-71-LY65_batchid11_1uM_24h up,Trimetrexate,5583,up,44
Trimetrexate_DD-71-LY65_batchid11_1uM_24h down,Trimetrexate,5583,down,31
Estradiol Acetate_YB-31-TH67_batchid11_1uM_24h up,Estradiol Acetate,9818306,up,10
Doxapram_FA-43-TP28_batchid11_1uM_24h up,Doxapram,3156,up,58
Doxapram_FA-43-TP28_batchid11_1uM_24h down,Doxapram,3156,down,32
Lafutidine_WD-65-PA90_batchid11_1uM_24h up,Lafutidine,5282136,up,32
Lafutidine_WD-65-PA90_batchid11_1uM_24h down,Lafutidine,5282136,down,27
Eptifibatide_IB-56-BR35_batchid11_1uM_24h up,Eptifibatide,448812,up,9
54766360_CA-66-FY97_batchid11_1uM_24h up,54766360,54766360,up,18
54766360_CA-66-FY97_batchid11_1uM_24h down,54766360,54766360,down,8
PF-429242_EC-18-TF61_batchid11_1uM_24h up,PF-429242,23661637,up,6
PF-429242_EC-18-TF61_batchid11_1uM_24h down,PF-429242,23661637,down,14
BN-82451_PA-64-LE28_batchid11_1uM_24h up,BN-82451,9905090,up,41
BN-82451_PA-64-LE28_batchid11_1uM_24h down,BN-82451,9905090,down,31
CID 25225521_ZC-74-FT18_batchid11_1uM_24h up,CID 25225521,25225521,up,11
CID 25225521_ZC-74-FT18_batchid11_1uM_24h down,CID 25225521,25225521,down,7
_BE-04-AN21_batchid11_1uM_24h up,,,up,246
_BE-04-AN21_batchid11_1uM_24h down,,,down,263
44240850_TA-25-ZO44_batchid11_1uM_24h up,44240850,44240850,up,7
59619840_HA-22-CY42_batchid11_1uM_24h up,59619840,59619840,up,948
59619840_HA-22-CY42_batchid11_1uM_24h down,59619840,59619840,down,924
Enobosarm_DD-26-RY82_batchid11_1uM_24h up,Enobosarm,11326715,up,27
Enobosarm_DD-26-RY82_batchid11_1uM_24h down,Enobosarm,11326715,down,14
46174173_KA-78-TY66_batchid11_1uM_24h up,46174173,46174173,up,48
46174173_KA-78-TY66_batchid11_1uM_24h down,46174173,46174173,down,190
44537807_FC-96-WR45_batchid11_1uM_24h up,44537807,44537807,up,21
675434_AD-59-IN33_batchid11_1uM_24h up,675434,675434,up,35
675434_AD-59-IN33_batchid11_1uM_24h down,675434,675434,down,26
46203026_TF-77-DW08_batchid11_1uM_24h up,46203026,46203026,up,127
46203026_TF-77-DW08_batchid11_1uM_24h down,46203026,46203026,down,2000
Pcera-1_LA-09-SS14_batchid11_1uM_24h up,Pcera-1,10475314,up,102
Pcera-1_LA-09-SS14_batchid11_1uM_24h down,Pcera-1,10475314,down,74
SR1001_XB-70-NK42_batchid11_1uM_24h up,SR1001,44241473,up,8
SR1001_XB-70-NK42_batchid11_1uM_24h down,SR1001,44241473,down,9
Obelin_LC-05-JF28_batchid11_1uM_24h up,Obelin,5311377,up,8
213023_IB-30-KN41_batchid11_1uM_24h up,213023,213023,up,148
213023_IB-30-KN41_batchid11_1uM_24h down,213023,213023,down,98
140560728_FF-89-KK36_batchid11_1uM_24h up,140560728,140560728,up,37
140560728_FF-89-KK36_batchid11_1uM_24h down,140560728,140560728,down,132
6-(3-aminophenyl)-3-anilino-2H-isoquinolin-1-one_KA-58-YE68_batchid11_1uM_24h up,6-(3-aminophenyl)-3-anilino-2H-isoquinolin-1-one,71768374,up,44
6-(3-aminophenyl)-3-anilino-2H-isoquinolin-1-one_KA-58-YE68_batchid11_1uM_24h down,6-(3-aminophenyl)-3-anilino-2H-isoquinolin-1-one,71768374,down,29
_AC-93-QD45_batchid11_1uM_24h up,,,up,5
66924739_RB-61-DW99_batchid11_1uM_24h up,66924739,66924739,up,17
66924739_RB-61-DW99_batchid11_1uM_24h down,66924739,66924739,down,12
Voxelotor_BF-29-LU75_batchid11_1uM_24h up,Voxelotor,71602803,up,132
Voxelotor_BF-29-LU75_batchid11_1uM_24h down,Voxelotor,71602803,down,391
"4,5-Dibromo-2-(m-tolyl)pyridazin-3(2H)-one_AE-56-SL06_batchid11_1uM_24h up","4,5-Dibromo-2-(m-tolyl)pyridazin-3(2H)-one",24997402,up,16
76903477_ED-11-BL19_batchid11_1uM_24h up,76903477,76903477,up,7
MS023_DD-43-WW40_batchid11_1uM_24h up,MS023,92136227,up,72
MS023_DD-43-WW40_batchid11_1uM_24h down,MS023,92136227,down,391
_PB-66-RW16_batchid11_1uM_24h up,,,up,46
_PB-66-RW16_batchid11_1uM_24h down,,,down,38
59443280_AA-90-YI00_batchid11_1uM_24h up,59443280,59443280,up,20
59443280_AA-90-YI00_batchid11_1uM_24h down,59443280,59443280,down,6
Jnj-63533054_PC-85-EL52_batchid11_1uM_24h up,Jnj-63533054,2548547,up,16
MK6-83_EC-37-MB09_batchid11_1uM_24h up,MK6-83,18191179,up,40
MK6-83_EC-37-MB09_batchid11_1uM_24h down,MK6-83,18191179,down,7
Venglustat_FA-56-WH26_batchid11_1uM_24h up,Venglustat,60199242,up,98
Venglustat_FA-56-WH26_batchid11_1uM_24h down,Venglustat,60199242,down,50
Arenobufagin_LA-42-ER00_batchid11_1uM_24h up,Arenobufagin,12305198,up,2000
Arenobufagin_LA-42-ER00_batchid11_1uM_24h down,Arenobufagin,12305198,down,1926
MLL1-WDR5 blocker DDO-2117_EA-00-QR36_batchid11_1uM_24h up,MLL1-WDR5 blocker DDO-2117,134130757,up,40
MLL1-WDR5 blocker DDO-2117_EA-00-QR36_batchid11_1uM_24h down,MLL1-WDR5 blocker DDO-2117,134130757,down,13
137662234_S0-EE-XMXE_batchid11_1uM_24h up,137662234,137662234,up,188
137662234_S0-EE-XMXE_batchid11_1uM_24h down,137662234,137662234,down,523
135411_ND-15-RC31_batchid11_1uM_24h up,135411,135411,up,490
135411_ND-15-RC31_batchid11_1uM_24h down,135411,135411,down,499
Bix-01294_CB-88-LG34_batchid11_1uM_24h up,Bix-01294,25150857,up,16
Bix-01294_CB-88-LG34_batchid11_1uM_24h down,Bix-01294,25150857,down,7
46224516_CF-31-GE67_batchid11_1uM_24h up,46224516,46224516,up,30
46224516_CF-31-GE67_batchid11_1uM_24h down,46224516,46224516,down,17
11837558_RB-34-TO07_batchid11_1uM_24h up,11837558,11837558,up,36
11837558_RB-34-TO07_batchid11_1uM_24h down,11837558,11837558,down,44
Cathepsin inhibitor 1_HF-25-LA47_batchid11_1uM_24h up,Cathepsin inhibitor 1,44224135,up,10
Cathepsin inhibitor 1_HF-25-LA47_batchid11_1uM_24h down,Cathepsin inhibitor 1,44224135,down,33
10436731_AD-65-WK61_batchid11_1uM_24h up,10436731,10436731,up,71
10436731_AD-65-WK61_batchid11_1uM_24h down,10436731,10436731,down,177
44353976_EE-13-PS05_batchid11_1uM_24h up,44353976,44353976,up,24
44353976_EE-13-PS05_batchid11_1uM_24h down,44353976,44353976,down,9
Lomitapide_AF-41-QY60_batchid11_1uM_24h up,Lomitapide,9853053,up,26
Lomitapide_AF-41-QY60_batchid11_1uM_24h down,Lomitapide,9853053,down,18
N-hydroxy-3-(naphthalen-1-yl)acrylamide_EB-19-SM10_batchid11_1uM_24h up,N-hydroxy-3-(naphthalen-1-yl)acrylamide,24880249,up,40
N-hydroxy-3-(naphthalen-1-yl)acrylamide_EB-19-SM10_batchid11_1uM_24h down,N-hydroxy-3-(naphthalen-1-yl)acrylamide,24880249,down,59
11682374_AF-40-QU33_batchid11_1uM_24h up,11682374,11682374,up,22
11682374_AF-40-QU33_batchid11_1uM_24h down,11682374,11682374,down,14
2-(Naphthalene-2-sulfonamido)acetic acid_DC-43-KF54_batchid11_1uM_24h up,2-(Naphthalene-2-sulfonamido)acetic acid,702481,up,148
2-(Naphthalene-2-sulfonamido)acetic acid_DC-43-KF54_batchid11_1uM_24h down,2-(Naphthalene-2-sulfonamido)acetic acid,702481,down,412
23642285_BA-65-YU25_batchid11_1uM_24h up,23642285,23642285,up,7
23642285_BA-65-YU25_batchid11_1uM_24h down,23642285,23642285,down,6
11385779_FC-36-SU62_batchid11_1uM_24h up,11385779,11385779,up,25
11385779_FC-36-SU62_batchid11_1uM_24h down,11385779,11385779,down,12
N1-(2-Aminophenyl)-N7-phenylheptanediamide_BE-71-AV63_batchid11_1uM_24h up,N1-(2-Aminophenyl)-N7-phenylheptanediamide,9543539,up,14
N1-(2-Aminophenyl)-N7-phenylheptanediamide_BE-71-AV63_batchid11_1uM_24h down,N1-(2-Aminophenyl)-N7-phenylheptanediamide,9543539,down,9
5-(Pyridin-4-YL)-1H-imidazole-2-thiol_ZC-12-OO11_batchid11_1uM_24h up,5-(Pyridin-4-YL)-1H-imidazole-2-thiol,10012466,up,26
5-(Pyridin-4-YL)-1H-imidazole-2-thiol_ZC-12-OO11_batchid11_1uM_24h down,5-(Pyridin-4-YL)-1H-imidazole-2-thiol,10012466,down,15
46839336_BA-28-XM73_batchid11_1uM_24h up,46839336,46839336,up,61
46839336_BA-28-XM73_batchid11_1uM_24h down,46839336,46839336,down,73
24856341_HE-68-XL70_batchid11_1uM_24h up,24856341,24856341,up,30
24856341_HE-68-XL70_batchid11_1uM_24h down,24856341,24856341,down,29
4-Phenoxy-6-oxa-1-azabicyclo[3.2.1]octan-7-one_FB-75-YG01_batchid11_1uM_24h up,4-Phenoxy-6-oxa-1-azabicyclo[3.2.1]octan-7-one,74349552,up,108
4-Phenoxy-6-oxa-1-azabicyclo[3.2.1]octan-7-one_FB-75-YG01_batchid11_1uM_24h down,4-Phenoxy-6-oxa-1-azabicyclo[3.2.1]octan-7-one,74349552,down,305
17747481_AD-14-QD12_batchid11_1uM_24h up,17747481,17747481,up,20
17747481_AD-14-QD12_batchid11_1uM_24h down,17747481,17747481,down,16
54742338_GC-06-BU42_batchid11_1uM_24h up,54742338,54742338,up,22
54742338_GC-06-BU42_batchid11_1uM_24h down,54742338,54742338,down,23
_BC-57-KZ72_batchid11_1uM_24h up,,11360391,up,17
Citco_GB-69-YC71_batchid11_1uM_24h up,Citco,9600409,up,16
Citco_GB-69-YC71_batchid11_1uM_24h down,Citco,9600409,down,42
44819306_CA-90-RU33_batchid11_1uM_24h up,44819306,44819306,up,63
44819306_CA-90-RU33_batchid11_1uM_24h down,44819306,44819306,down,65
Omacetaxine Mepesuccinate_EA-18-FP00_batchid11_10uM_24h up,Omacetaxine Mepesuccinate,285033,up,2000
Omacetaxine Mepesuccinate_EA-18-FP00_batchid11_10uM_24h down,Omacetaxine Mepesuccinate,285033,down,2000
Zardaverine_AA-47-BS40_batchid11_1uM_24h up,Zardaverine,5723,up,9
Methyl 2-[(4-fluorobenzoyl)amino]benzoate_BA-72-YP01_batchid11_1uM_24h up,Methyl 2-[(4-fluorobenzoyl)amino]benzoate,310557,up,29
Methyl 2-[(4-fluorobenzoyl)amino]benzoate_BA-72-YP01_batchid11_1uM_24h down,Methyl 2-[(4-fluorobenzoyl)amino]benzoate,310557,down,133
Acifran_BE-47-IP08_batchid11_1uM_24h up,Acifran,51576,up,26
Acifran_BE-47-IP08_batchid11_1uM_24h down,Acifran,51576,down,12
53322804_EA-61-RR63_batchid11_1uM_24h up,53322804,53322804,up,16
53322804_EA-61-RR63_batchid11_1uM_24h down,53322804,53322804,down,7
58215635_AC-72-HZ80_batchid11_1uM_24h up,58215635,58215635,up,11
58215635_AC-72-HZ80_batchid11_1uM_24h down,58215635,58215635,down,6
Ceftriaxone_CA-16-ZL71_batchid11_1uM_24h up,Ceftriaxone,5479530,up,124
Ceftriaxone_CA-16-ZL71_batchid11_1uM_24h down,Ceftriaxone,5479530,down,594
58692243_SA-32-CC58_batchid11_1uM_24h up,58692243,58692243,up,109
58692243_SA-32-CC58_batchid11_1uM_24h down,58692243,58692243,down,2000
16718567_YA-21-RR66_batchid11_1uM_24h up,16718567,16718567,up,19
16718567_YA-21-RR66_batchid11_1uM_24h down,16718567,16718567,down,6
44612024_EC-41-PH99_batchid11_1uM_24h up,44612024,44612024,up,56
44612024_EC-41-PH99_batchid11_1uM_24h down,44612024,44612024,down,18
StemRegenin 1_EF-83-OP68_batchid11_1uM_24h up,StemRegenin 1,46199207,up,51
StemRegenin 1_EF-83-OP68_batchid11_1uM_24h down,StemRegenin 1,46199207,down,16
57919838_GC-28-YS77_batchid11_1uM_24h up,57919838,57919838,up,27
11715767_MA-06-DJ95_batchid11_1uM_24h up,11715767,11715767,up,55
11715767_MA-06-DJ95_batchid11_1uM_24h down,11715767,11715767,down,87
Turofexorate Isopropyl_FC-05-LX47_batchid11_1uM_24h up,Turofexorate Isopropyl,10026128,up,43
Turofexorate Isopropyl_FC-05-LX47_batchid11_1uM_24h down,Turofexorate Isopropyl,10026128,down,10
66793948_LE-48-SO37_batchid11_1uM_24h up,66793948,66793948,up,20
66793948_LE-48-SO37_batchid11_1uM_24h down,66793948,66793948,down,18
Pentoxifylline_AA-09-HG96_batchid11_1uM_24h up,Pentoxifylline,4740,up,112
Pentoxifylline_AA-09-HG96_batchid11_1uM_24h down,Pentoxifylline,4740,down,34
Scd1-IN-1_BA-60-DR11_batchid11_1uM_24h up,Scd1-IN-1,25154387,up,20
Scd1-IN-1_BA-60-DR11_batchid11_1uM_24h down,Scd1-IN-1,25154387,down,5
Sertindole_TD-31-KS49_batchid11_1uM_24h up,Sertindole,60149,up,5
49766530_ZA-63-AC60_batchid11_1uM_24h up,49766530,49766530,up,157
49766530_ZA-63-AC60_batchid11_1uM_24h down,49766530,49766530,down,273
A-967079_BD-47-NP88_batchid11_1uM_24h down,A-967079,42641861,down,7
Azd-7762_BD-04-NG34_batchid11_1uM_24h up,Azd-7762,11152667,up,755
Azd-7762_BD-04-NG34_batchid11_1uM_24h down,Azd-7762,11152667,down,931
AC-7954_HA-83-MI31_batchid11_1uM_24h up,AC-7954,9797568,up,10
99625_KA-72-WY22_batchid11_1uM_24h up,99625,99625,up,5
_HC-76-HU27_batchid11_1uM_24h up,,,up,112
_HC-76-HU27_batchid11_1uM_24h down,,,down,399
_BD-11-DV28_batchid11_10uM_24h up,,,up,626
_BD-11-DV28_batchid11_10uM_24h down,,,down,532
45279469_BC-10-SB73_batchid11_1uM_24h up,45279469,45279469,up,103
45279469_BC-10-SB73_batchid11_1uM_24h down,45279469,45279469,down,271
PRL-3 inhibitor I_ID-43-YL08_batchid11_1uM_24h up,PRL-3 inhibitor I,11983303,up,16
68221683_JE-13-EV67_batchid11_1uM_24h up,68221683,68221683,up,28
P505-15_FA-89-PW29_batchid11_1uM_24h up,P505-15,44462758,up,55
P505-15_FA-89-PW29_batchid11_1uM_24h down,P505-15,44462758,down,34
KB-130015_BB-21-XL84_batchid11_1uM_24h up,KB-130015,9872203,up,21
KB-130015_BB-21-XL84_batchid11_1uM_24h down,KB-130015,9872203,down,15
"1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-_CB-77-KL88_batchid11_1uM_24h up","1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-",951,up,12
44199337_CE-69-FD64_batchid11_1uM_24h up,44199337,44199337,up,22
44199337_CE-69-FD64_batchid11_1uM_24h down,44199337,44199337,down,8
RO5166017_HD-99-BT62_batchid11_1uM_24h up,RO5166017,25016538,up,65
RO5166017_HD-99-BT62_batchid11_1uM_24h down,RO5166017,25016538,down,201
118720615_DA-40-HO94_batchid11_1uM_24h up,118720615,118720615,up,172
118720615_DA-40-HO94_batchid11_1uM_24h down,118720615,118720615,down,396
_HB-75-KT12_batchid11_1uM_24h up,,,up,204
_HB-75-KT12_batchid11_1uM_24h down,,,down,546
PF-4708671_TF-23-DD23_batchid11_1uM_24h up,PF-4708671,51371303,up,59
PF-4708671_TF-23-DD23_batchid11_1uM_24h down,PF-4708671,51371303,down,18
Alectinib_AF-25-BS76_batchid11_1uM_24h up,Alectinib,49806720,up,22
Alectinib_AF-25-BS76_batchid11_1uM_24h down,Alectinib,49806720,down,16
_BB-28-MC54_batchid11_1uM_24h up,,,up,85
_BB-28-MC54_batchid11_1uM_24h down,,,down,325
90142551_DA-63-NP63_batchid11_1uM_24h up,90142551,90142551,up,8
Migalastat_FE-37-OL13_batchid11_1uM_24h up,Migalastat,176077,up,84
Migalastat_FE-37-OL13_batchid11_1uM_24h down,Migalastat,176077,down,62
23630211_DB-18-UF01_batchid11_1uM_24h up,23630211,23630211,up,435
23630211_DB-18-UF01_batchid11_1uM_24h down,23630211,23630211,down,391
PF-543_PE-86-SC73_batchid11_1uM_24h up,PF-543,66577038,up,105
PF-543_PE-86-SC73_batchid11_1uM_24h down,PF-543,66577038,down,220
(R)-Pfi-2_DA-09-XJ53_batchid11_1uM_24h up,(R)-Pfi-2,71300326,up,28
(R)-Pfi-2_DA-09-XJ53_batchid11_1uM_24h down,(R)-Pfi-2,71300326,down,18
90408826_AA-69-TD29_batchid11_1uM_24h up,90408826,90408826,up,46
90408826_AA-69-TD29_batchid11_1uM_24h down,90408826,90408826,down,21
78357808_AA-32-DP01_batchid11_1uM_24h up,78357808,78357808,up,30
78357808_AA-32-DP01_batchid11_1uM_24h down,78357808,78357808,down,38
Pinometostat_MB-49-LL22_batchid11_1uM_24h up,Pinometostat,57345410,up,182
Pinometostat_MB-49-LL22_batchid11_1uM_24h down,Pinometostat,57345410,down,585
Gsk343_CC-48-OM48_batchid11_1uM_24h up,Gsk343,71268957,up,129
Gsk343_CC-48-OM48_batchid11_1uM_24h down,Gsk343,71268957,down,513
H-Cys(1)-Asn-Ser-Asn-Gln-Ile-Cys(1)-OH_ME-11-OJ38_batchid11_1uM_24h up,H-Cys(1)-Asn-Ser-Asn-Gln-Ile-Cys(1)-OH,10327891,up,96
H-Cys(1)-Asn-Ser-Asn-Gln-Ile-Cys(1)-OH_ME-11-OJ38_batchid11_1uM_24h down,H-Cys(1)-Asn-Ser-Asn-Gln-Ile-Cys(1)-OH,10327891,down,201
Ils-920_GA-04-JM33_batchid11_1uM_24h up,Ils-920,58974612,up,300
Ils-920_GA-04-JM33_batchid11_1uM_24h down,Ils-920,58974612,down,606
Ricolinostat_BB-77-QQ71_batchid11_1uM_24h up,Ricolinostat,53340666,up,425
Ricolinostat_BB-77-QQ71_batchid11_1uM_24h down,Ricolinostat,53340666,down,1060
mGluR4-PAM-1_AD-37-DF79_batchid11_1uM_24h down,mGluR4-PAM-1,46836562,down,18
MK-0429_CB-87-RB49_batchid11_1uM_24h up,MK-0429,9853559,up,54
MK-0429_CB-87-RB49_batchid11_1uM_24h down,MK-0429,9853559,down,114
10135509_FF-46-OR35_batchid11_1uM_24h up,10135509,10135509,up,42
10135509_FF-46-OR35_batchid11_1uM_24h down,10135509,10135509,down,46
132256891_DD-17-HS50_batchid11_1uM_24h up,132256891,132256891,up,6
56837193_SA-63-NG30_batchid11_1uM_24h up,56837193,56837193,up,87
56837193_SA-63-NG30_batchid11_1uM_24h down,56837193,56837193,down,61
Gsk2830371_LD-98-VO32_batchid11_1uM_24h up,Gsk2830371,70983932,up,94
Gsk2830371_LD-98-VO32_batchid11_1uM_24h down,Gsk2830371,70983932,down,25
m-Chlorophenylbiguanide_RB-06-YP44_batchid11_1uM_24h up,m-Chlorophenylbiguanide,1354,up,21
Trientine_NC-06-IT89_batchid11_1uM_24h up,Trientine,5565,up,16
Trientine_NC-06-IT89_batchid11_1uM_24h down,Trientine,5565,down,20
124146374_FA-77-YL98_batchid11_1uM_24h up,124146374,124146374,up,58
124146374_FA-77-YL98_batchid11_1uM_24h down,124146374,124146374,down,49
73441664_ZB-33-MZ40_batchid11_1uM_24h up,73441664,73441664,up,76
73441664_ZB-33-MZ40_batchid11_1uM_24h down,73441664,73441664,down,42
11773916_CD-96-HO43_batchid11_1uM_24h up,11773916,11773916,up,43
11773916_CD-96-HO43_batchid11_1uM_24h down,11773916,11773916,down,8
46173038_JF-55-EN33_batchid11_1uM_24h up,46173038,46173038,up,26
46173038_JF-55-EN33_batchid11_1uM_24h down,46173038,46173038,down,24
